CCC_CODE,GOVT_STAT,OSD_REMARK,CONN_STAT,TYPE,COUNT,OSD
3157101,NO,OSD   ,DD    ,C   ,1,183
3157101,NO,OSD   ,DD    ,C   ,1,184.46
3157101,NO,OSD   ,DD    ,C   ,1,186
3157101,NO,OSD   ,DD    ,C   ,1,204.65
3157101,NO,OSD   ,DD    ,C   ,1,210
3157101,NO,OSD   ,DD    ,C   ,1,215.57
3157101,NO,OSD   ,DD    ,C   ,1,216
3157101,NO,OSD   ,DD    ,C   ,1,216.41
3157101,NO,OSD   ,DD    ,C   ,1,217.54
3157101,NO,OSD   ,DD    ,C   ,1,219
3157101,NO,OSD   ,DD    ,C   ,1,221.03
3157101,NO,OSD   ,DD    ,C   ,1,221.55
3157101,NO,OSD   ,DD    ,C   ,1,228.11
3157101,NO,OSD   ,DD    ,C   ,1,237
3157101,NO,OSD   ,DD    ,C   ,1,238.23
3157101,NO,OSD   ,DD    ,C   ,1,240
3157101,NO,OSD   ,DD    ,C   ,2,484
3157101,NO,OSD   ,DD    ,C   ,1,246.05
3157101,NO,OSD   ,DD    ,C   ,1,246.88
3157101,NO,OSD   ,DD    ,C   ,1,248.19
3157101,NO,OSD   ,DD    ,C   ,1,250
3157101,NO,OSD   ,DD    ,C   ,1,258
3157101,NO,OSD   ,DD    ,C   ,1,262
3157101,NO,OSD   ,DD    ,C   ,1,262.66
3157101,NO,OSD   ,DD    ,C   ,1,263.19
3157101,NO,OSD   ,DD    ,C   ,1,265.1
3157101,NO,OSD   ,DD    ,C   ,1,267.49
3157101,NO,OSD   ,DD    ,C   ,1,268.25
3157101,NO,OSD   ,DD    ,C   ,1,272
3157101,NO,OSD   ,DD    ,C   ,1,278
3157101,NO,OSD   ,DD    ,C   ,1,306.74
3157101,NO,OSD   ,DD    ,C   ,1,313.93
3157101,NO,OSD   ,DD    ,C   ,1,315.31
3157101,NO,OSD   ,DD    ,C   ,1,316.1
3157101,NO,OSD   ,DD    ,C   ,1,323
3157101,NO,OSD   ,DD    ,C   ,1,339.03
3157101,NO,OSD   ,DD    ,C   ,1,358
3157101,NO,OSD   ,DD    ,C   ,1,368.5
3157101,NO,OSD   ,DD    ,C   ,1,387
3157101,NO,OSD   ,DD    ,C   ,1,387.51
3157101,NO,OSD   ,DD    ,C   ,1,394
3157101,NO,OSD   ,DD    ,C   ,1,394.78
3157101,NO,OSD   ,DD    ,C   ,1,394.9
3157101,NO,OSD   ,DD    ,C   ,1,395.85
3157101,NO,OSD   ,DD    ,C   ,1,399
3157101,NO,OSD   ,DD    ,C   ,1,406.7
3157101,NO,OSD   ,DD    ,C   ,1,416
3157101,NO,OSD   ,DD    ,C   ,1,419.32
3157101,NO,OSD   ,DD    ,C   ,1,421.66
3157101,NO,OSD   ,DD    ,C   ,1,426
3157101,NO,OSD   ,DD    ,C   ,1,429.08
3157101,NO,OSD   ,DD    ,C   ,1,429.44
3157101,NO,OSD   ,DD    ,C   ,1,431
3157101,NO,OSD   ,DD    ,C   ,1,463.43
3157101,NO,OSD   ,DD    ,C   ,1,467.65
3157101,NO,OSD   ,DD    ,C   ,1,471.52
3157101,NO,OSD   ,DD    ,C   ,1,483
3157101,NO,OSD   ,DD    ,C   ,1,484.08
3157101,NO,OSD   ,DD    ,C   ,1,496.5
3157101,NO,OSD   ,DD    ,C   ,1,498
3157101,NO,OSD   ,DD    ,C   ,1,501
3157101,NO,OSD   ,DD    ,C   ,1,508
3157101,NO,OSD   ,DD    ,C   ,1,515
3157101,NO,OSD   ,DD    ,C   ,1,516
3157101,NO,OSD   ,DD    ,C   ,1,536.03
3157101,NO,OSD   ,DD    ,C   ,1,537
3157101,NO,OSD   ,DD    ,C   ,1,548
3157101,NO,OSD   ,DD    ,C   ,1,550.43
3157101,NO,OSD   ,DD    ,C   ,1,551
3157101,NO,OSD   ,DD    ,C   ,1,583.42
3157101,NO,OSD   ,DD    ,C   ,1,595.63
3157101,NO,OSD   ,DD    ,C   ,1,598.67
3157101,NO,OSD   ,DD    ,C   ,1,603
3157101,NO,OSD   ,DD    ,C   ,1,633.55
3157101,NO,OSD   ,DD    ,C   ,1,658.61
3157101,NO,OSD   ,DD    ,C   ,1,665
3157101,NO,OSD   ,DD    ,C   ,1,677.26
3157101,NO,OSD   ,DD    ,C   ,1,703.18
3157101,NO,OSD   ,DD    ,C   ,1,703.76
3157101,NO,OSD   ,DD    ,C   ,1,704.01
3157101,NO,OSD   ,DD    ,C   ,1,708.14
3157101,NO,OSD   ,DD    ,C   ,1,708.97
3157101,NO,OSD   ,DD    ,C   ,1,729
3157101,NO,OSD   ,DD    ,C   ,1,744.04
